n,N_fullerene,total_IPR_isomers,candidates_canonicalized,best_area_ratio,best_insphere,C(n)_faces
20,60,1,1,1,1,{3: 20}
25,70,1,1,1.091433,0.9853,"{3: 10, 4: 15}"
27,74,1,1,1.055235,0.9893,"{3: 6, 4: 21}"
28,76,2,1,1.005117,0.9922,"{3: 4, 4: 24}"
29,78,5,1,1.060055,0.9896,"{3: 2, 4: 27}"
30,80,7,2,1,1,{4: 30}
31,82,9,1,1.049615,0.9906,"{4: 29, 5: 2}"
32,84,24,3,1.023782,0.9932,"{4: 28, 5: 4}"
33,86,19,1,1.13408,0.9863,"{4: 27, 5: 6}"
34,88,35,1,1.169934,0.9844,"{4: 26, 5: 8}"
35,90,46,6,1.153883,0.986,"{4: 25, 5: 10}"
36,92,86,28,1.026116,0.9926,"{4: 24, 5: 12}"
37,94,134,15,1.146493,0.988,"{4: 23, 5: 14}"
38,96,187,17,1.192206,0.9887,"{4: 22, 5: 16}"
39,98,259,42,1.057476,0.992,"{4: 21, 5: 18}"
40,100,450,38,1.165395,0.9888,"{4: 20, 5: 20}"
41,102,616,38,1.11796,0.9899,"{4: 19, 5: 22}"
42,104,823,44,1.097971,0.9921,"{4: 18, 5: 24}"
43,106,1233,33,1.090407,0.9919,"{4: 17, 5: 26}"
44,108,1799,34,1.110513,0.9909,"{4: 16, 5: 28}"
45,110,2355,21,1.102435,0.9917,"{4: 15, 5: 30}"
46,112,3342,19,1.103591,0.9917,"{4: 14, 5: 32}"
47,114,4468,6,1.143661,0.9917,"{4: 13, 5: 34}"
48,116,6063,15,1.008387,0.9955,"{4: 12, 5: 36}"
49,118,8148,3,1.191999,0.99,"{4: 11, 5: 38}"
50,120,10774,4,1.192369,0.9905,"{4: 10, 5: 40}"
51,122,13977,3,1.106126,0.9926,"{4: 9, 5: 42}"
52,124,18769,1,1.109377,0.9932,"{4: 8, 5: 44}"
55,130,39393,1,1.097431,0.9934,"{4: 5, 5: 50}"
60,140,121354,1,1,1,{5: 60}
